,TEAM,CONF,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,WIN_PCT,YEAR
47,Duquesne,A10,106.4,96.2,.7619,50.1,48.0,17.5,19.5,29.9,30.0,33.1,35.3,49.6,48.4,33.9,31.7,39.7,37.3,66.3,-1.8,0.7058823529411765,2024
48,McNeese St.,Slnd,111.3,101.1,.7503,54.9,47.8,14.2,23.0,32.1,30.4,40.6,33.9,52.8,46.3,39.4,33.0,33.6,48.1,65.4,0.7,1.0344827586206897,2024
49,Yale,Ivy,109.8,100.0,.7455,52.3,49.7,14.1,16.0,28.4,24.0,26.9,29.0,52.5,48.8,34.6,34.0,35.3,41.4,64.7,-2.5,0.7586206896551724,2024
50,Samford,SC,111.8,102.5,.7314,56.9,50.0,18.1,21.7,30.2,32.0,36.4,37.0,55.5,49.5,39.3,33.9,40.9,40.1,72.6,0.05,0.90625,2024
51,College of Charleston,CAA,113.4,105.2,.7028,52.4,50.6,14.3,16.4,33.5,26.6,26.9,28.3,52.6,50.5,34.8,33.8,47.1,36.9,70.0,-1.6,0.8181818181818182,2024
52,UAB,Amer,112.9,106.2,.6678,50.1,51.0,16.7,16.1,35.3,31.0,40.5,31.4,50.4,50.2,33.1,35.0,31.3,36.7,67.8,-2.6,0.696969696969697,2024
53,Vermont,AE,104.6,98.7,.6602,51.8,46.7,13.8,15.1,22.4,23.3,29.7,25.9,53.1,46.4,33.5,31.5,44.1,36.5,63.4,-1.2,0.875,2024
54,Western Kentucky,CUSA,105.3,101.8,.5956,51.9,48.3,18.3,18.6,28.5,26.7,32.9,33.4,52.1,48.3,34.4,32.2,31.0,40.1,75.1,-6.6,0.7333333333333333,2024
55,Akron,MAC,105.1,101.6,.5943,52.0,48.6,17.2,16.6,29.5,25.6,33.6,29.0,54.8,50.7,32.0,30.0,41.5,36.8,65.7,-4.5,0.75,2024
56,Morehead St.,OVC,106.7,103.4,.5882,54.4,45.7,18.5,15.5,32.0,26.4,31.3,32.7,55.6,45.4,35.3,31.1,45.1,31.2,64.3,-3.4,0.8666666666666667,2024
57,Oakland,Horz,107.8,104.7,.5851,52.1,50.6,16.2,16.3,30.6,28.6,30.9,26.8,51.8,50.5,35.1,33.9,40.8,40.7,66.8,-4.2,0.6764705882352942,2024
58,South Dakota St.,Sum,107.6,104.5,.5842,55.3,50.8,16.4,16.5,24.4,25.3,30.4,27.4,55.9,49.0,36.2,35.2,40.2,47.1,67.9,-7.5,0.7096774193548387,2024
59,Colgate,Pat,102.3,101.8,.5151,53.4,47.2,16.3,16.1,25.0,24.5,27.6,24.5,53.3,48.7,35.7,29.9,38.3,39.6,66.2,-4.1,0.7575757575757576,2024
60,Longwood,BSth,104.0,104.9,.4768,49.4,51.3,18.0,19.6,36.7,25.5,39.5,36.1,48.6,50.9,34.2,34.6,28.3,39.5,66.9,-8.7,0.6774193548387096,2024
61,Long Beach St.,BW,105.4,107.9,.4323,48.9,51.2,17.1,18.5,33.3,29.6,38.1,32.6,49.7,50.0,31.3,35.1,28.3,43.6,71.5,-8.1,0.6363636363636364,2024
62,Montana St.,BSky,103.0,105.8,.4226,53.9,52.3,16.8,18.6,20.7,28.6,30.7,37.0,53.4,54.1,36.4,32.6,41.4,35.4,68.5,-12.6,0.5483870967741935,2024
63,Saint Peter's,MAAC,96.9,100.2,.4053,45.0,46.6,19.6,20.3,35.1,29.4,38.1,42.3,42.4,46.4,33.9,31.5,31.1,34.5,64.0,-8.8,0.6129032258064516,2024
64,Stetson,ASun,108.3,114.1,.3545,53.4,52.0,15.8,13.5,27.5,31.2,31.7,25.9,52.5,52.2,36.5,34.5,41.8,37.4,66.0,-6.8,0.7096774193548387,2024
65,Grambling St.,SWAC,97.7,106.1,.2804,48.2,49.1,20.5,19.0,28.1,32.7,39.6,33.9,47.0,48.4,34.1,33.7,29.8,33.4,64.9,-8.0,0.6451612903225806,2024
66,Howard,MEAC,104.3,113.5,.2748,51.7,51.1,21.2,16.6,33.3,30.3,42.1,38.4,49.1,50.9,37.2,34.4,39.0,33.2,67.8,-12.1,0.5454545454545454,2024
67,Wagner,NEC,95.6,104.8,.2565,45.1,48.3,15.8,16.9,29.1,27.2,26.4,30.1,43.3,50.7,32.0,29.8,38.0,41.2,61.4,-11.7,0.5666666666666667,2024
